victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A05_t9_s4,A05_t9,craft-A05_t9,A05,9,4
A05_t9_s5,A05_t9,craft-A05_t9,A05,9,5
A06_s0,A06,craft-A06,A06,0,0
A06_s1,A06,craft-A06,A06,0,1
A06_s2,A06,craft-A06,A06,0,2
A06_s3,A06,craft-A06,A06,0,3
A06_s4,A06,craft-A06,A06,0,4
A06_s5,A06,craft-A06,A06,0,5
A06_t1_s0,A06_t1,craft-A06_t1,A06,1,0
A06_t1_s1,A06_t1,craft-A06_t1,A06,1,1
A06_t1_s2,A06_t1,craft-A06_t1,A06,1,2
A06_t1_s3,A06_t1,craft-A06_t1,A06,1,3
A06_t1_s4,A06_t1,craft-A06_t1,A06,1,4
A06_t1_s5,A06_t1,craft-A06_t1,A06,1,5
A06_t2_s0,A06_t2,craft-A06_t2,A06,2,0
A06_t2_s1,A06_t2,craft-A06_t2,A06,2,1
A06_t2_s2,A06_t2,craft-A06_t2,A06,2,2
A06_t2_s3,A06_t2,craft-A06_t2,A06,2,3
A06_t2_s4,A06_t2,craft-A06_t2,A06,2,4
A06_t2_s5,A06_t2,craft-A06_t2,A06,2,5
A06_t3_s0,A06_t3,craft-A06_t3,A06,3,0
A06_t3_s1,A06_t3,craft-A06_t3,A06,3,1
A06_t3_s2,A06_t3,craft-A06_t3,A06,3,2
A06_t3_s3,A06_t3,craft-A06_t3,A06,3,3
A06_t3_s4,A06_t3,craft-A06_t3,A06,3,4
A06_t3_s5,A06_t3,craft-A06_t3,A06,3,5
A06_t4_s0,A06_t4,craft-A06_t4,A06,4,0
A06_t4_s1,A06_t4,craft-A06_t4,A06,4,1
A06_t4_s2,A06_t4,craft-A06_t4,A06,4,2
A06_t4_s3,A06_t4,craft-A06_t4,A06,4,3
A06_t4_s4,A06_t4,craft-A06_t4,A06,4,4
A06_t4_s5,A06_t4,craft-A06_t4,A06,4,5
A06_t5_s0,A06_t5,craft-A06_t5,A06,5,0
A06_t5_s1,A06_t5,craft-A06_t5,A06,5,1
A06_t5_s2,A06_t5,craft-A06_t5,A06,5,2
A06_t5_s3,A06_t5,craft-A06_t5,A06,5,3
A06_t5_s4,A06_t5,craft-A06_t5,A06,5,4
A06_t5_s5,A06_t5,craft-A06_t5,A06,5,5
A06_t6_s0,A06_t6,craft-A06_t6,A06,6,0
A06_t6_s1,A06_t6,craft-A06_t6,A06,6,1
A06_t6_s2,A06_t6,craft-A06_t6,A06,6,2
A06_t6_s3,A06_t6,craft-A06_t6,A06,6,3
A06_t6_s4,A06_t6,craft-A06_t6,A06,6,4
A06_t6_s5,A06_t6,craft-A06_t6,A06,6,5
A06_t7_s0,A06_t7,craft-A06_t7,A06,7,0
A06_t7_s1,A06_t7,craft-A06_t7,A06,7,1
A06_t7_s2,A06_t7,craft-A06_t7,A06,7,2
A06_t7_s3,A06_t7,craft-A06_t7,A06,7,3
A06_t7_s4,A06_t7,craft-A06_t7,A06,7,4
A06_t7_s5,A06_t7,craft-A06_t7,A06,7,5
A06_t8_s0,A06_t8,craft-A06_t8,A06,8,0
A06_t8_s1,A06_t8,craft-A06_t8,A06,8,1
A06_t8_s2,A06_t8,craft-A06_t8,A06,8,2
A06_t8_s3,A06_t8,craft-A06_t8,A06,8,3
A06_t8_s4,A06_t8,craft-A06_t8,A06,8,4
A06_t8_s5,A06_t8,craft-A06_t8,A06,8,5
A06_t9_s0,A06_t9,craft-A06_t9,A06,9,0
A06_t9_s1,A06_t9,craft-A06_t9,A06,9,1
A06_t9_s2,A06_t9,craft-A06_t9,A06,9,2
A06_t9_s3,A06_t9,craft-A06_t9,A06,9,3
A06_t9_s4,A06_t9,craft-A06_t9,A06,9,4
A06_t9_s5,A06_t9,craft-A06_t9,A06,9,5
A07_s0,A07,craft-A07,A07,0,0
A07_s1,A07,craft-A07,A07,0,1
A07_s2,A07,craft-A07,A07,0,2
A07_s3,A07,craft-A07,A07,0,3
A07_s4,A07,craft-A07,A07,0,4
A07_s5,A07,craft-A07,A07,0,5
A07_t1_s0,A07_t1,craft-A07_t1,A07,1,0
A07_t1_s1,A07_t1,craft-A07_t1,A07,1,1
A07_t1_s2,A07_t1,craft-A07_t1,A07,1,2
A07_t1_s3,A07_t1,craft-A07_t1,A07,1,3
A07_t1_s4,A07_t1,craft-A07_t1,A07,1,4
A07_t1_s5,A07_t1,craft-A07_t1,A07,1,5
A07_t2_s0,A07_t2,craft-A07_t2,A07,2,0
A07_t2_s1,A07_t2,craft-A07_t2,A07,2,1
A07_t2_s2,A07_t2,craft-A07_t2,A07,2,2
A07_t2_s3,A07_t2,craft-A07_t2,A07,2,3
A07_t2_s4,A07_t2,craft-A07_t2,A07,2,4
A07_t2_s5,A07_t2,craft-A07_t2,A07,2,5
A07_t3_s0,A07_t3,craft-A07_t3,A07,3,0
A07_t3_s1,A07_t3,craft-A07_t3,A07,3,1
A07_t3_s2,A07_t3,craft-A07_t3,A07,3,2
A07_t3_s3,A07_t3,craft-A07_t3,A07,3,3
A07_t3_s4,A07_t3,craft-A07_t3,A07,3,4
A07_t3_s5,A07_t3,craft-A07_t3,A07,3,5
A07_t4_s0,A07_t4,craft-A07_t4,A07,4,0
A07_t4_s1,A07_t4,craft-A07_t4,A07,4,1
A07_t4_s2,A07_t4,craft-A07_t4,A07,4,2
A07_t4_s3,A07_t4,craft-A07_t4,A07,4,3
A07_t4_s4,A07_t4,craft-A07_t4,A07,4,4
A07_t4_s5,A07_t4,craft-A07_t4,A07,4,5
A07_t5_s0,A07_t5,craft-A07_t5,A07,5,0
A07_t5_s1,A07_t5,craft-A07_t5,A07,5,1
A07_t5_s2,A07_t5,craft-A07_t5,A07,5,2
A07_t5_s3,A07_t5,craft-A07_t5,A07,5,3
A07_t5_s4,A07_t5,craft-A07_t5,A07,5,4
A07_t5_s5,A07_t5,craft-A07_t5,A07,5,5
A07_t6_s0,A07_t6,craft-A07_t6,A07,6,0
A07_t6_s1,A07_t6,craft-A07_t6,A07,6,1
A07_t6_s2,A07_t6,craft-A07_t6,A07,6,2
A07_t6_s3,A07_t6,craft-A07_t6,A07,6,3
A07_t6_s4,A07_t6,craft-A07_t6,A07,6,4
A07_t6_s5,A07_t6,craft-A07_t6,A07,6,5
A07_t7_s0,A07_t7,craft-A07_t7,A07,7,0
A07_t7_s1,A07_t7,craft-A07_t7,A07,7,1
A07_t7_s2,A07_t7,craft-A07_t7,A07,7,2
A07_t7_s3,A07_t7,craft-A07_t7,A07,7,3
A07_t7_s4,A07_t7,craft-A07_t7,A07,7,4
A07_t7_s5,A07_t7,craft-A07_t7,A07,7,5
A07_t8_s0,A07_t8,craft-A07_t8,A07,8,0
A07_t8_s1,A07_t8,craft-A07_t8,A07,8,1
A07_t8_s2,A07_t8,craft-A07_t8,A07,8,2
A07_t8_s3,A07_t8,craft-A07_t8,A07,8,3
A07_t8_s4,A07_t8,craft-A07_t8,A07,8,4
A07_t8_s5,A07_t8,craft-A07_t8,A07,8,5
A07_t9_s0,A07_t9,craft-A07_t9,A07,9,0
A07_t9_s1,A07_t9,craft-A07_t9,A07,9,1
A07_t9_s2,A07_t9,craft-A07_t9,A07,9,2
A07_t9_s3,A07_t9,craft-A07_t9,A07,9,3
A07_t9_s4,A07_t9,craft-A07_t9,A07,9,4
A07_t9_s5,A07_t9,craft-A07_t9,A07,9,5
A08_s0,A08,craft-A08,A08,0,0
A08_s1,A08,craft-A08,A08,0,1
A08_s2,A08,craft-A08,A08,0,2
A08_s3,A08,craft-A08,A08,0,3
A08_s4,A08,craft-A08,A08,0,4
A08_s5,A08,craft-A08,A08,0,5
A08_t1_s0,A08_t1,craft-A08_t1,A08,1,0
A08_t1_s1,A08_t1,craft-A08_t1,A08,1,1
A08_t1_s2,A08_t1,craft-A08_t1,A08,1,2
A08_t1_s3,A08_t1,craft-A08_t1,A08,1,3
A08_t1_s4,A08_t1,craft-A08_t1,A08,1,4
A08_t1_s5,A08_t1,craft-A08_t1,A08,1,5
A08_t2_s0,A08_t2,craft-A08_t2,A08,2,0
A08_t2_s1,A08_t2,craft-A08_t2,A08,2,1
A08_t2_s2,A08_t2,craft-A08_t2,A08,2,2
A08_t2_s3,A08_t2,craft-A08_t2,A08,2,3
A08_t2_s4,A08_t2,craft-A08_t2,A08,2,4
A08_t2_s5,A08_t2,craft-A08_t2,A08,2,5
A08_t3_s0,A08_t3,craft-A08_t3,A08,3,0
A08_t3_s1,A08_t3,craft-A08_t3,A08,3,1
A08_t3_s2,A08_t3,craft-A08_t3,A08,3,2
A08_t3_s3,A08_t3,craft-A08_t3,A08,3,3
A08_t3_s4,A08_t3,craft-A08_t3,A08,3,4
A08_t3_s5,A08_t3,craft-A08_t3,A08,3,5
A08_t4_s0,A08_t4,craft-A08_t4,A08,4,0
A08_t4_s1,A08_t4,craft-A08_t4,A08,4,1
A08_t4_s2,A08_t4,craft-A08_t4,A08,4,2
A08_t4_s3,A08_t4,craft-A08_t4,A08,4,3
A08_t4_s4,A08_t4,craft-A08_t4,A08,4,4
A08_t4_s5,A08_t4,craft-A08_t4,A08,4,5
A08_t5_s0,A08_t5,craft-A08_t5,A08,5,0
A08_t5_s1,A08_t5,craft-A08_t5,A08,5,1
A08_t5_s2,A08_t5,craft-A08_t5,A08,5,2
A08_t5_s3,A08_t5,craft-A08_t5,A08,5,3
A08_t5_s4,A08_t5,craft-A08_t5,A08,5,4
A08_t5_s5,A08_t5,craft-A08_t5,A08,5,5
A08_t6_s0,A08_t6,craft-A08_t6,A08,6,0
A08_t6_s1,A08_t6,craft-A08_t6,A08,6,1
A08_t6_s2,A08_t6,craft-A08_t6,A08,6,2
A08_t6_s3,A08_t6,craft-A08_t6,A08,6,3
