victim_id,craft_uid,craftproj,cell_id,target_id,seed_idx
A24_t1_s3,A24_t1,craft-A24_t1,A24,1,3
A24_t1_s4,A24_t1,craft-A24_t1,A24,1,4
A24_t1_s5,A24_t1,craft-A24_t1,A24,1,5
A24_t2_s0,A24_t2,craft-A24_t2,A24,2,0
A24_t2_s1,A24_t2,craft-A24_t2,A24,2,1
A24_t2_s2,A24_t2,craft-A24_t2,A24,2,2
A24_t2_s3,A24_t2,craft-A24_t2,A24,2,3
A24_t2_s4,A24_t2,craft-A24_t2,A24,2,4
A24_t2_s5,A24_t2,craft-A24_t2,A24,2,5
A25_t1_s0,A25_t1,craft-A25_t1,A25,1,0
A25_t1_s1,A25_t1,craft-A25_t1,A25,1,1
A25_t1_s2,A25_t1,craft-A25_t1,A25,1,2
A25_t1_s3,A25_t1,craft-A25_t1,A25,1,3
A25_t1_s4,A25_t1,craft-A25_t1,A25,1,4
A25_t1_s5,A25_t1,craft-A25_t1,A25,1,5
A25_t2_s0,A25_t2,craft-A25_t2,A25,2,0
A25_t2_s1,A25_t2,craft-A25_t2,A25,2,1
A25_t2_s2,A25_t2,craft-A25_t2,A25,2,2
A25_t2_s3,A25_t2,craft-A25_t2,A25,2,3
A25_t2_s4,A25_t2,craft-A25_t2,A25,2,4
A25_t2_s5,A25_t2,craft-A25_t2,A25,2,5
A26_t1_s0,A26_t1,craft-A26_t1,A26,1,0
A26_t1_s1,A26_t1,craft-A26_t1,A26,1,1
A26_t1_s2,A26_t1,craft-A26_t1,A26,1,2
A26_t1_s3,A26_t1,craft-A26_t1,A26,1,3
A26_t1_s4,A26_t1,craft-A26_t1,A26,1,4
A26_t1_s5,A26_t1,craft-A26_t1,A26,1,5
A26_t2_s0,A26_t2,craft-A26_t2,A26,2,0
A26_t2_s1,A26_t2,craft-A26_t2,A26,2,1
A26_t2_s2,A26_t2,craft-A26_t2,A26,2,2
A26_t2_s3,A26_t2,craft-A26_t2,A26,2,3
A26_t2_s4,A26_t2,craft-A26_t2,A26,2,4
A26_t2_s5,A26_t2,craft-A26_t2,A26,2,5
A27_t1_s0,A27_t1,craft-A27_t1,A27,1,0
A27_t1_s1,A27_t1,craft-A27_t1,A27,1,1
A27_t1_s2,A27_t1,craft-A27_t1,A27,1,2
A27_t1_s3,A27_t1,craft-A27_t1,A27,1,3
A27_t1_s4,A27_t1,craft-A27_t1,A27,1,4
A27_t1_s5,A27_t1,craft-A27_t1,A27,1,5
A27_t2_s0,A27_t2,craft-A27_t2,A27,2,0
A27_t2_s1,A27_t2,craft-A27_t2,A27,2,1
A27_t2_s2,A27_t2,craft-A27_t2,A27,2,2
A27_t2_s3,A27_t2,craft-A27_t2,A27,2,3
A27_t2_s4,A27_t2,craft-A27_t2,A27,2,4
A27_t2_s5,A27_t2,craft-A27_t2,A27,2,5
A28_t1_s0,A28_t1,craft-A28_t1,A28,1,0
A28_t1_s1,A28_t1,craft-A28_t1,A28,1,1
A28_t1_s2,A28_t1,craft-A28_t1,A28,1,2
A28_t1_s3,A28_t1,craft-A28_t1,A28,1,3
A28_t1_s4,A28_t1,craft-A28_t1,A28,1,4
A28_t1_s5,A28_t1,craft-A28_t1,A28,1,5
A28_t2_s0,A28_t2,craft-A28_t2,A28,2,0
A28_t2_s1,A28_t2,craft-A28_t2,A28,2,1
A28_t2_s2,A28_t2,craft-A28_t2,A28,2,2
A28_t2_s3,A28_t2,craft-A28_t2,A28,2,3
A28_t2_s4,A28_t2,craft-A28_t2,A28,2,4
A28_t2_s5,A28_t2,craft-A28_t2,A28,2,5
A29_t1_s0,A29_t1,craft-A29_t1,A29,1,0
A29_t1_s1,A29_t1,craft-A29_t1,A29,1,1
A29_t1_s2,A29_t1,craft-A29_t1,A29,1,2
A29_t1_s3,A29_t1,craft-A29_t1,A29,1,3
A29_t1_s4,A29_t1,craft-A29_t1,A29,1,4
A29_t1_s5,A29_t1,craft-A29_t1,A29,1,5
A29_t2_s0,A29_t2,craft-A29_t2,A29,2,0
A29_t2_s1,A29_t2,craft-A29_t2,A29,2,1
A29_t2_s2,A29_t2,craft-A29_t2,A29,2,2
A29_t2_s3,A29_t2,craft-A29_t2,A29,2,3
A29_t2_s4,A29_t2,craft-A29_t2,A29,2,4
A29_t2_s5,A29_t2,craft-A29_t2,A29,2,5
A30_t1_s0,A30_t1,craft-A30_t1,A30,1,0
A30_t1_s1,A30_t1,craft-A30_t1,A30,1,1
A30_t1_s2,A30_t1,craft-A30_t1,A30,1,2
A30_t1_s3,A30_t1,craft-A30_t1,A30,1,3
A30_t1_s4,A30_t1,craft-A30_t1,A30,1,4
A30_t1_s5,A30_t1,craft-A30_t1,A30,1,5
A30_t2_s0,A30_t2,craft-A30_t2,A30,2,0
A30_t2_s1,A30_t2,craft-A30_t2,A30,2,1
A30_t2_s2,A30_t2,craft-A30_t2,A30,2,2
A30_t2_s3,A30_t2,craft-A30_t2,A30,2,3
A30_t2_s4,A30_t2,craft-A30_t2,A30,2,4
A30_t2_s5,A30_t2,craft-A30_t2,A30,2,5
